BestLapTime,LapsComplete,Status,PositionStart,DriverID,TeamID,TrackID,TrackType,PositionFinish,,,
01:07.8,90,0,11,4587,6,8,1,15,,,
01:07.9,90,0,17,4897,1,8,1,16,,,
01:07.9,90,0,13,4636,1,8,1,17,,,
01:07.7,90,0,19,4613,7,8,1,18,,,
01:08.1,90,0,12,4218,7,8,1,19,,,
01:07.5,90,0,23,4940,10,8,1,20,,,
01:07.7,90,0,27,4981,9,8,1,21,,,
01:07.6,90,0,25,4644,5,8,1,22,,,
01:06.6,89,0,21,4932,11,8,1,23,,,
01:07.5,89,0,20,3668,10,8,1,24,,,
01:07.7,36,1,16,4920,6,8,1,25,,,
01:10.0,11,1,22,3667,11,8,1,26,,,
01:47.0,55,0,2,4931,4,12,1,1,,,
01:46.8,55,0,12,4588,8,12,1,2,,,
01:48.2,55,0,18,4897,1,12,1,3,,,
01:47.8,55,0,3,4623,2,12,1,4,,,
01:47.6,55,0,15,4948,8,12,1,5,,,
01:47.5,55,0,23,4944,4,12,1,6,,,
01:47.4,55,0,7,4636,1,12,1,7,,,
01:47.1,55,0,13,4915,3,12,1,8,,,
01:47.4,55,0,25,3628,4,12,1,9,,,
01:48.3,55,0,22,4614,5,12,1,10,,,
01:47.9,55,0,1,4949,10,12,1,11,,,
01:48.2,55,0,4,4932,11,12,1,12,,,
01:47.6,55,0,24,4587,6,12,1,13,,,
01:48.2,55,0,8,3667,11,12,1,14,,,
01:48.1,55,0,9,4939,9,12,1,15,,,
01:48.8,55,0,16,4511,2,12,1,16,,,
01:47.7,55,0,11,4559,3,12,1,17,,,
01:47.9,55,0,20,4920,6,12,1,18,,,
01:48.3,55,0,19,4940,10,12,1,19,,,
01:48.4,55,0,6,3668,10,12,1,20,,,
01:48.7,55,0,14,4905,2,12,1,21,,,
01:48.1,55,0,21,4218,7,12,1,22,,,
01:49.0,55,0,27,4644,5,12,1,23,,,
01:47.7,55,0,5,4938,3,12,1,24,,,
01:48.0,30,1,10,4215,11,12,1,25,,,
01:49.3,9,1,26,4613,7,12,1,26,,,
02:25.5,3,1,17,4981,9,12,1,27,,,
00:25.9,260,0,10,4623,2,13,0,1,,,
00:25.9,260,0,3,4559,3,13,0,2,,,
00:25.9,260,0,25,4920,6,13,0,3,,,
00:26.0,260,0,11,3628,4,13,0,4,,,
00:26.1,260,0,19,4897,1,13,0,5,,,
00:25.9,260,0,15,4218,7,13,0,6,,,
00:26.0,260,0,18,4614,5,13,0,7,,,
00:25.7,260,0,9,4931,4,13,0,8,,,
00:26.1,260,0,6,4948,8,13,0,9,,,
00:26.2,260,0,24,4981,9,13,0,10,,,
00:26.2,260,0,12,4587,6,13,0,11,,,
00:25.8,260,0,4,4636,1,13,0,12,,,
00:26.2,260,0,13,4905,2,13,0,13,,,
00:26.1,260,0,14,4938,3,13,0,14,,,
00:26.0,259,0,26,4944,4,13,0,15,,,
00:25.8,259,0,7,4588,8,13,0,16,,,
00:26.2,259,0,8,4511,2,13,0,17,,,
00:26.4,259,0,16,4939,9,13,0,18,,,
00:26.0,259,0,20,4915,3,13,0,19,,,
00:26.4,259,0,23,4613,7,13,0,20,,,
00:26.5,258,0,27,4644,5,13,0,21,,,
00:26.6,253,0,22,3668,10,13,0,22,,,
00:26.5,217,0,17,4940,10,13,0,23,,,
00:25.8,216,1,2,4932,11,13,0,24,,,
00:25.9,129,1,5,4215,11,13,0,25,,,
00:26.1,128,1,21,4949,10,13,0,26,,,
00:26.1,47,1,1,3667,11,13,0,27,,,
01:02.4,100,0,3,4623,2,2,2,1,,,
01:02.8,100,0,21,4897,1,2,2,2,,,
